No,Instansi Pelaporan
649,Pemerintah Kota Palopo
650,Pemerintah Kota Pare Pare
651,Pemerintah Provinsi Sulawesi Selatan
652,PT Kawasan Industri Makassar (Persero)
653,Pemerintah Kabupaten Banggai
654,Pemerintah Kabupaten Banggai Kepulauan
655,Pemerintah Kabupaten Banggai Laut
656,Pemerintah Kabupaten Buol
657,Pemerintah Kabupaten Donggala
658,Pemerintah Kabupaten Morowali
659,Pemerintah Kabupaten Morowali Utara
660,Pemerintah Kabupaten Parigi Moutong
661,Pemerintah Kabupaten Poso
662,Pemerintah Kabupaten Sigi
663,Pemerintah Kabupaten Tojo Una Una
664,Pemerintah Kabupaten Toli Toli
665,Pemerintah Kota Palu
666,Pemerintah Provinsi Sulawesi Tengah
667,Pemerintah Kabupaten Bombana
668,Pemerintah Kabupaten Buton
669,Pemerintah Kabupaten Buton Selatan
670,Pemerintah Kabupaten Buton Tengah
671,Pemerintah Kabupaten Buton Utara
672,Pemerintah Kabupaten Kolaka
673,Pemerintah Kabupaten Kolaka Timur
674,Pemerintah Kabupaten Kolaka Utara
675,Pemerintah Kabupaten Konawe
676,Pemerintah Kabupaten Konawe Kepulauan
677,Pemerintah Kabupaten Konawe Selatan
678,Pemerintah Kabupaten Konawe Utara
679,Pemerintah Kabupaten Muna
680,Pemerintah Kabupaten Muna Barat
681,Pemerintah Kabupaten Wakatobi
682,Pemerintah Kota Bau Bau
683,Pemerintah Kota Kendari
684,Pemerintah Provinsi Sulawesi Tenggara
685,Pemerintah Kabupaten Bolaang Mongondow
686,Pemerintah Kabupaten Bolaang Mongondow Selatan
687,Pemerintah Kabupaten Bolaang Mongondow Timur
688,Pemerintah Kabupaten Bolaang Mongondow Utara
689,Pemerintah Kabupaten Kepulauan Sangihe
690,Pemerintah Kabupaten Kepulauan Siau Tagulandang Biaro
691,Pemerintah Kabupaten Kepulauan Talaud
692,Pemerintah Kabupaten Minahasa
693,Pemerintah Kabupaten Minahasa Selatan
694,Pemerintah Kabupaten Minahasa Tenggara
695,Pemerintah Kabupaten Minahasa Utara
696,Pemerintah Kota Bitung
697,Pemerintah Kota Kotamobagu
698,Pemerintah Kota Manado
699,Pemerintah Kota Tomohon
700,Pemerintah Provinsi Sulawesi Utara
701,Pemerintah Kabupaten Agam
702,Pemerintah Kabupaten Dharmasraya
703,Pemerintah Kabupaten Kepulauan Mentawai
704,Pemerintah Kabupaten Lima Puluh Kota
705,Pemerintah Kabupaten Padang Pariaman
706,Pemerintah Kabupaten Pasaman
707,Pemerintah Kabupaten Pasaman Barat
708,Pemerintah Kabupaten Pesisir Selatan
709,Pemerintah Kabupaten Sijunjung
710,Pemerintah Kabupaten Solok
711,Pemerintah Kabupaten Solok Selatan
712,Pemerintah Kabupaten Tanah Datar
713,Pemerintah Kota Bukittinggi
714,Pemerintah Kota Padang
715,Pemerintah Kota Padang Panjang
716,Pemerintah Kota Pariaman
717,Pemerintah Kota Payakumbuh
718,Pemerintah Kota Sawahlunto
719,Pemerintah Kota Solok
720,Pemerintah Provinsi Sumatera Barat
721,Pemerintah Kabupaten Banyuasin
722,Pemerintah Kabupaten Empat Lawang
723,Pemerintah Kabupaten Lahat
724,Pemerintah Kabupaten Muara Enim
725,Pemerintah Kabupaten Musi Banyuasin
726,Pemerintah Kabupaten Musi Rawas
727,Pemerintah Kabupaten Musi Rawas Utara
728,Pemerintah Kabupaten Ogan Ilir
729,Pemerintah Kabupaten Ogan Komering Ilir
730,Pemerintah Kabupaten Ogan Komering Ulu
731,Pemerintah Kabupaten Ogan Komering Ulu Selatan
732,Pemerintah Kabupaten Ogan Komering Ulu Timur
733,Pemerintah Kabupaten Penukal Abab Lematang Ilir
734,Pemerintah Kota Lubuk Linggau
735,Pemerintah Kota Pagar Alam
736,Pemerintah Kota Palembang
737,Pemerintah Kota Prabumulih
738,Pemerintah Provinsi Sumatera Selatan
739,Pemerintah Kabupaten Asahan
740,Pemerintah Kabupaten Batu Bara
741,Pemerintah Kabupaten Dairi
742,Pemerintah Kabupaten Deli Serdang
743,Pemerintah Kabupaten Humbang Hasundutan
744,Pemerintah Kabupaten Karo
745,Pemerintah Kabupaten Labuhanbatu
746,Pemerintah Kabupaten Labuhanbatu Selatan
747,Pemerintah Kabupaten Labuhanbatu Utara
748,Pemerintah Kabupaten Langkat
749,Pemerintah Kabupaten Mandailing Natal
750,Pemerintah Kabupaten Nias
751,Pemerintah Kabupaten Nias Barat
752,Pemerintah Kabupaten Nias Selatan
753,Pemerintah Kabupaten Nias Utara
754,Pemerintah Kabupaten Padang Lawas
755,Pemerintah Kabupaten Padang Lawas Utara
756,Pemerintah Kabupaten Pakpak Bharat
757,Pemerintah Kabupaten Samosir
758,Pemerintah Kabupaten Serdang Bedagai
759,Pemerintah Kabupaten Simalungun
760,Pemerintah Kabupaten Tapanuli Selatan
761,Pemerintah Kabupaten Tapanuli Tengah
762,Pemerintah Kabupaten Tapanuli Utara
763,Pemerintah Kabupaten Toba Samosir
764,Pemerintah Kota Binjai
765,Pemerintah Kota Gunungsitoli
766,Pemerintah Kota Medan
767,Pemerintah Kota Padangsidimpuan
768,Pemerintah Kota Pematang Siantar
769,Pemerintah Kota Sibolga
770,Pemerintah Kota Tanjung Balai
771,Pemerintah Kota Tebing Tinggi
772,Pemerintah Provinsi Sumatera Utara
773,PT Kawasan Industri Medan (Persero)
774,Kementerian Investasi
