No,Instansi Pelaporan
136,Pemerintah Kota Jakarta Selatan
137,Pemerintah Kota Jakarta Timur
138,Pemerintah Kota Jakarta Utara
139,Pemerintah Provinsi DKI Jakarta
140,Perum Bulog
141,Perum DAMRI
142,PT Jaminan Kredit Indonesia (Jamkrindo)
143,Perum Jasa Tirta I
144,Perum Jasa Tirta II
145,Perum Kehutanan Negara (Perhutani)
146,Perum Lembaga Kantor Berita Nasional Antara (LKBN Antara)
147,Perum Pembangunan Perumahan Nasional (Perumnas)
148,Perum Pengangkutan Penumpang Djakarta (PPD)
149,Perum Percetakan Negara Republik Indonesia (PNRI)
150,Perum Percetakan Uang Republik Indonesia (Peruri)
151,Perum Produksi Film Negara (PFN)
152,"PT Adhi Karya (Persero), Tbk."
153,PT Amarta Karya (Persero)
154,PT Angkasa Pura I (Persero)
155,PT Angkasa Pura II (Persero)
156,PT Asabri
157,PT Asdp Indonesia Ferry (Persero)
158,PT Asuransi Jasa Indonesia (Persero)
159,PT Asuransi Jiwasraya (Persero)
160,PT Asuransi Kredit Indonesia (Persero)
161,PT Bahana Pembinaan Usaha Indonesia (Persero)
162,"PT Bank Mandiri (Persero), Tbk."
163,"PT Bank Negara Indonesia (Persero), Tbk. (BNI)"
164,"PT Bank Rakyat Indonesia (Persero), Tbk. (BRI)"
165,PT Bank Tabungan Negara (Persero) (BTN)
166,PT Barata Indonesia (Persero)
167,PT Berdikari (Persero)
168,PT Bhanda Ghara Reksa (Persero)
169,PT Bina Karya (Persero)
170,PT Bio Farma
171,PT Biro Klasifikasi Indonesia (Persero)
172,PT Boma Bisma Indra (Persero)
173,PT Brantas Abipraya (Persero)
174,PT Dahana (Persero)
175,PT Dana Tabungan Dan Asuransi Pegawai Negeri / Taspen (Persero)
176,PT Danareksa (Persero)
177,PT Dirgantara Indonesia (Persero)
178,PT Djakarta Lloyd (Persero)
179,"PT Garuda Indonesia (Persero), Tbk."
180,PT Dok Dan Perkapalan Kodja Bahari (Persero)
181,PT Energy Management Indonesia
182,PT Garam
183,PT Geodipa Energi
184,PT Hotel Indonesia Natour (Persero)
185,PT Hutama Karya (Persero)
186,PT Indah Karya (Persero)
187,PT Indonesia Asahan Alumunium (Inalum)
188,PT Indra Karya (Persero)
189,PT Industri Kapal Indonesia (Persero)
190,PT Industri Nuklir Indonesia (Persero)
191,PT Industri Sandang Nusantara (Persero)
192,PT Industri Telekomunikasi Indonesia (Persero)
193,PT Istaka Karya (Persero)
194,PT Jakarta Industrial Estate Pulogadung
195,"PT Jasa Marga (Persero), Tbk."
196,PT Jasa Raharja (Persero)
197,PT Kawasan Berikat Nusantara (Persero)
198,PT Kawasan Industri Wijayakusuma (Persero)
199,PT Kimia Farma
200,PT Kliring Berjangka Indonesia (Persero)
201,PT Krakatau Steel (Persero) Tbk.
202,PT Len Industri (Persero)
203,PT PAL Indonesia (Persero)
204,PT PANN Pembiayaan Maritim (Persero)
205,PT Pegadaian (Persero)
206,PT Pelabuhan Indonesia I (Persero)
207,PT Pelabuhan Indonesia II (Persero)
208,PT Pelabuhan Indonesia III (Persero)
209,PT Pelabuhan Indonesia IV (Persero)
210,PT Pelayaran Nasional Indonesia (Persero) (Pelni)
211,PT Pembangunan Perumahan (Persero)
212,PT Penerbitan Dan Percetakan Balai Pustaka (Persero)
213,PT Pengembangan Pariwisata Indonesia (Persero)
214,PT Pengusahaan Daerah Industri Pulau Batam (Persero)
215,PT Penjaminan Infrastruktur Indonesia (Persero)
216,PT Perikanan Nusantara
217,PT Perkebunan Nusantara III
218,PT Permodalan Nasional Madani (Persero)
219,PT Pertamina (Persero)
220,PT Pertani (Persero)
221,PT Perusahaan Gas Negara (Persero) Tbk
222,PT Perusahaan Listrik Negara (Persero) (PLN)
