global_step,train_loss,mcc,eval_loss
53,0.46985748410224915,0.7434235914162743,0.273766393661499
53,0.46985748410224915,0.7434235914162743,0.273766393661499
106,0.3313426375389099,0.8504258297294803,0.1884332513809204
106,0.3313426375389099,0.8504258297294803,0.1884332513809204
159,0.12910105288028717,0.7950044422008091,0.2909419298171997
159,0.12910105288028717,0.7950044422008091,0.2909419298171997
212,0.29832810163497925,0.8556934304376619,0.2931656265258789
212,0.29832810163497925,0.8556934304376619,0.2931656265258789
265,0.008218057453632355,0.8845301204822645,0.266039514541626
265,0.008218057453632355,0.8845301204822645,0.266039514541626
318,0.0045388746075332165,0.8820517217011057,0.2694716453552246
318,0.0045388746075332165,0.8820517217011057,0.2694716453552246
371,0.2366923689842224,0.8944159787653908,0.2961055135726929
371,0.2366923689842224,0.8944159787653908,0.2961055135726929
424,0.001950587029568851,0.8820517217011057,0.34017935276031497
424,0.001950587029568851,0.8820517217011057,0.34017935276031497
477,0.0013762750895693898,0.8924324324324324,0.2854327702522278
477,0.0013762750895693898,0.8924324324324324,0.2854327702522278
530,0.0011476700892671943,0.8813998588111336,0.27371118783950804
530,0.0011476700892671943,0.8813998588111336,0.27371118783950804
