,reference
1103,kementerian lingkungan hidup dan kehutanan
1104,kementerian kelautan dan perikanan
1105,kementerian kesehatan
1106,kementerian ketenagakerjaan
1107,kementerian keuangan
1108,kementerian komunikasi dan informatika
1109,kementerian koordinator bidang kemaritiman dan investasi
1110,kementerian koordinator bidang pembangunan manusia dan kebudayaan
1111,kementerian koordinator bidang perekonomian
1112,kementerian koordinator bidang politik hukum dan keamanan
1113,kementerian koperasi dan usaha kecil dan menengah
1114,kementerian luar negeri
1115,kementerian badan usaha milik negara
1116,kementerian pendayagunaan aparatur negara dan reformasi birokrasi kem panrb
1117,kementerian pariwisata dan ekonomi kreatif
1118,kementerian pekerjaan umum dan perumahan rakyat pupr
1119,kementerian pemberdayaan perempuan dan perlindungan anak
1120,kementerian pemuda dan olahraga
1121,kementerian pendidikan kebudayaan riset dan teknologi
1122,kementerian perdagangan
1123,kementerian perencanaan pembangunan nasional ppn badan perencanaan pembangunan nasional bappenas
1124,kementerian perhubungan
1125,kementerian perindustrian
1126,kementerian pertahanan
1127,kementerian pertanian
1128,kementerian sekretariat negara
1129,kementerian sosial
1130,badan pemeriksa keuangan bpk
1131,dewan perwakilan daerah dpd
1132,dewan perwakilan rakyat dpr
1133,komisi yudisial
1134,mahkamah agung ma
1135,mahkamah konstitusi mk
1136,majelis permusyawaratan rakyat mpr
1137,badan informasi geospasial big
1138,badan kepegawaian negara bkn
1139,badan intelijen negara bin
1140,badan keamanan laut bakamla
1141,badan kependudukan dan keluarga berencana nasional bkkbn
1142,badan koordinasi penanaman modal bkpm
1143,badan meteorologi klimatologi dan geofisika bmkg
1144,badan narkotika nasional bnn
1145,badan nasional penanggulangan bencana bnpb
1146,badan nasional penanggulangan terorisme bnpt
1147,badan pelindungan pekerja migran indonesia
1148,badan pengawas obat dan makanan bpom
1149,badan pengawas pemilihan umum bawaslu
1150,badan pengawas tenaga nuklir bapeten
1151,badan pengawasan keuangan dan pembangunan bpkp
1152,badan pengkajian dan penerapan teknologi bppt
1153,badan pengusahaan kawasan perdagangan bebas dan pelabuhan bebas batam
1154,badan pusat statistik bps
1155,badan search and rescue nasional basarnas
1156,badan siber dan sandi negara bssn
1157,badan standardisasi nasional bsn
1158,badan tenaga nuklir nasional batan
1159,dewan ketahanan nasional wantannas
1160,kejaksaan republik indonesia
1161,kepolisian negara republik indonesia
1162,komisi nasional hak asasi manusia komnas ham
1163,komisi pemberantasan korupsi kpk
1164,komisi pemilihan umum kpu
1165,komisi pengawas persaingan usaha kppu
1166,lembaga administrasi negara lan
1167,lembaga ilmu pengetehuan indonesia lipi
1168,lembaga kebijakan pengadaan barang jasa pemerintah lkpp
1169,lembaga ketahanan nasional lemhanas
1170,lembaga penerbangan dan antariksa nasional lapan
1171,lembaga penyiaran publik tvri
1172,ombudsman republik indonesia ori
1173,perpustakaan nasional republik indonesia perpusnas
1174,pusat pelaporan dan analisis transaksi keuangan ppatk
1175,sekretariat kabinet
1176,arsip nasional republik indonesia anri
1177,tentara nasional indonesia tni
1178,komisi aparatur sipil negara kasn
1179,badan nasional sertifikasi profesi bnsp
1180,badan pengatur hilir minyak dan gas bumi bph migas
1181,dewan pertimbangan presiden wantimpres
1182,komisi kejaksaan republik indonesia
1183,komisi penyiaran indonesia kpi
1184,lembaga perlindungan saksi dan korban lpsk
1185,pemerintah kabupaten kepulauan seribu
1186,pemerintah kota jakarta barat
1187,pemerintah kota jakarta pusat
1188,pemerintah kota jakarta selatan
1189,pemerintah kota jakarta timur
1190,pemerintah kota jakarta utara
1191,pemerintah provinsi dki jakarta
1192,perum lembaga kantor berita nasional antara lkbn antara
1193,pt asabri
1194,pt bank tabungan negara persero btn
1195,pt bio farma
1196,pt energy management indonesia
1197,pt garam
1198,pt indonesia asahan alumunium inalum
1199,pt jasa raharja persero
1200,pt kimia farma
1201,pt pelabuhan indonesia i persero
1202,pt pelabuhan indonesia ii persero
1203,pt pelabuhan indonesia iii persero
1204,pt pelabuhan indonesia iv persero
1205,pt perikanan nusantara
1206,pt perusahaan perdagangan indonesia
1207,pt rajawali nusantara indonesia
1208,pt sang hyang seri
1209,dewan perwakilan rakyat daerah dprd
1210,pt nindya karya
1211,badan pengelola keuangan haji bpkh
1212,badan penyelenggara jaminan sosial kesehatan bpjs kesehatan
1213,badan penyelenggara jaminan sosial ketenagakerjaan bpjamsostek
1214,lembaga penjamin simpanan lps
1215,otoritas jasa keuangan ojk
1216,satuan kerja khusus pelaksana kegiatan usaha hulu minyak dan gas bumi skk migas
1217,badan nasional pengelola perbatasan
1218,badan pengusahaan kawasan perdagangan bebas  pelabuhan bebas sabang
1219,badan pembinaan ideologi pancasila
1220,pemerintah kabupaten boalemo
1221,lembaga penyiaran publik radio republik indonesia
1222,dewan jaminan sosial nasional
1223,pemerintah kabupaten bone bolango
1224,pemerintah kabupaten gorontalo
1225,pemerintah kabupaten gorontalo utara
1226,pemerintah kabupaten pohuwato
1227,pemerintah kota gorontalo
1228,pemerintah provinsi gorontalo
1229,pemerintah kabupaten batanghari
1230,pemerintah kabupaten bungo
1231,pemerintah kabupaten kerinci
1232,pemerintah kabupaten merangin
1233,pemerintah kabupaten muaro jambi
1234,pemerintah kabupaten sarolangun
1235,pemerintah kabupaten tanjung jabung barat
1236,pemerintah kabupaten tanjung jabung timur
1237,pemerintah kabupaten tebo
1238,pemerintah kota jambi
1239,pemerintah kota sungai penuh
1240,pemerintah provinsi jambi
1241,pemerintah kabupaten bandung
1242,pemerintah kabupaten bandung barat
1243,pemerintah kabupaten bekasi
1244,pemerintah kabupaten bogor
1245,pemerintah kabupaten ciamis
1246,pemerintah kabupaten cianjur
1247,pemerintah kabupaten cirebon
1248,pemerintah kabupaten garut
1249,pemerintah kabupaten indramayu
1250,pemerintah kabupaten karawang
1251,pemerintah kabupaten kuningan
1252,pemerintah kabupaten majalengka
1253,pemerintah kabupaten pangandaran
1254,pemerintah kabupaten purwakarta
1255,pemerintah kabupaten subang
1256,pemerintah kabupaten sukabumi
1257,pemerintah kabupaten sumedang
1258,pemerintah kabupaten tasikmalaya
1259,pemerintah kota bandung
1260,pemerintah kota banjar
1261,pemerintah kota bekasi
1262,pemerintah kota bogor
1263,pemerintah kota cimahi
1264,pemerintah kota cirebon
1265,pemerintah kota depok
1266,pemerintah kota sukabumi
1267,pemerintah kota tasikmalaya
1268,pemerintah provinsi jawa barat
1269,pt indofarma
1270,pt telkom indonesia persero tbk
1271,pemerintah kabupaten banjarnegara
1272,pemerintah kabupaten banyumas
1273,pemerintah kabupaten batang
1274,pemerintah kabupaten blora
1275,pemerintah kabupaten boyolali
1276,pemerintah kabupaten brebes
1277,pemerintah kabupaten cilacap
1278,pemerintah kabupaten demak
1279,pemerintah kabupaten grobogan
1280,pemerintah kabupaten jepara
1281,pemerintah kabupaten karanganyar
1282,pemerintah kabupaten kebumen
1283,pemerintah kabupaten kendal
1284,pemerintah kabupaten klaten
1285,pemerintah kabupaten kudus
1286,pemerintah kabupaten magelang
1287,pemerintah kabupaten pati
1288,pemerintah kabupaten pekalongan
1289,pemerintah kabupaten pemalang
1290,pemerintah kabupaten purbalingga
1291,pemerintah kabupaten purworejo
1292,pemerintah kabupaten rembang
1293,pemerintah kabupaten semarang
1294,pemerintah kabupaten sragen
1295,pemerintah kabupaten sukoharjo
1296,pemerintah kabupaten tegal
1297,pemerintah kabupaten temanggung
1298,pemerintah kabupaten wonogiri
1299,pemerintah kabupaten wonosobo
1300,pemerintah kota magelang
1301,pemerintah kota pekalongan
1302,pemerintah kota salatiga
1303,pemerintah kota semarang
1304,pemerintah kota surakarta
1305,pemerintah kota tegal
1306,pemerintah provinsi jawa tengah
1307,pemerintah kabupaten bangkalan
1308,pemerintah kabupaten banyuwangi
1309,pemerintah kabupaten blitar
1310,pemerintah kabupaten bojonegoro
1311,pemerintah kabupaten bondowoso
1312,pemerintah kabupaten gresik
1313,pemerintah kabupaten jember
1314,pemerintah kabupaten jombang
1315,pemerintah kabupaten kediri
1316,pemerintah kabupaten lamongan
1317,pemerintah kabupaten lumajang
1318,pemerintah kabupaten malang
1319,pemerintah kabupaten madiun
1320,pemerintah kabupaten magetan
1321,pemerintah kabupaten mojokerto
1322,pemerintah kabupaten nganjuk
1323,pemerintah kabupaten ngawi
1324,pemerintah kabupaten pacitan
1325,pemerintah kabupaten pamekasan
1326,pemerintah kabupaten pasuruan
1327,pemerintah kabupaten ponorogo
1328,pemerintah kabupaten probolinggo
1329,pemerintah kabupaten sampang
1330,pemerintah kabupaten sidoarjo
1331,pemerintah kabupaten situbondo
1332,pemerintah kabupaten sumenep
1333,pemerintah kabupaten trenggalek
1334,pemerintah kabupaten tuban
1335,pemerintah kabupaten tulungagung
1336,pemerintah kota batu
1337,pemerintah kota blitar
1338,pemerintah kota kediri
1339,pemerintah kota madiun
1340,pemerintah kota malang
1341,pemerintah kota mojokerto
1342,pemerintah kota pasuruan
1343,pemerintah kota probolinggo
1344,pemerintah kota surabaya
1345,pemerintah provinsi jawa timur
1346,pemerintah kabupaten bengkayang
1347,pemerintah kabupaten kapuas hulu
1348,pemerintah kabupaten kayong utara
1349,pemerintah kabupaten ketapang
1350,pemerintah kabupaten kubu raya
1351,pemerintah kabupaten landak
1352,pemerintah kabupaten melawi
1353,pemerintah kabupaten mempawah
1354,pemerintah kabupaten sambas
1355,pemerintah kabupaten sanggau
1356,pemerintah kabupaten sekadau
1357,pemerintah kabupaten sintang
1358,pemerintah kota pontianak
1359,pemerintah kota singkawang
1360,pemerintah provinsi kalimantan barat
1361,pemerintah kabupaten balangan
1362,pemerintah kabupaten banjar
1363,pemerintah kabupaten barito kuala
1364,pemerintah kabupaten hulu sungai selatan
1365,pemerintah kabupaten hulu sungai tengah
1366,pemerintah kabupaten hulu sungai utara
1367,pemerintah kabupaten kotabaru
1368,pemerintah kabupaten tabalong
1369,pemerintah kabupaten tanah bumbu
1370,pemerintah kabupaten tanah laut
1371,pemerintah kabupaten tapin
1372,pemerintah kota banjarbaru
1373,pemerintah kota banjarmasin
1374,pemerintah provinsi kalimantan selatan
1375,pemerintah kabupaten barito selatan
1376,pemerintah kabupaten barito timur
1377,pemerintah kabupaten barito utara
1378,pemerintah kabupaten gunung mas
1379,pemerintah kabupaten kapuas
1380,pemerintah kabupaten katingan
1381,pemerintah kabupaten kotawaringin barat
1382,pemerintah kabupaten kotawaringin timur
1383,pemerintah kabupaten lamandau
1384,pemerintah kabupaten murung raya
1385,pemerintah kabupaten pulang pisau
1386,pemerintah kabupaten seruyan
1387,pemerintah kabupaten sukamara
1388,pemerintah kota palangka raya
1389,pemerintah provinsi kalimantan tengah
1390,pemerintah kabupaten berau
1391,pemerintah kabupaten kutai barat
1392,pemerintah kabupaten kutai kartanegara
1393,pemerintah kabupaten kutai timur
1394,pemerintah kabupaten mahakam ulu
1395,pemerintah kabupaten paser
1396,pemerintah kabupaten penajam paser utara
1397,pemerintah kota balikpapan
1398,pemerintah kota bontang
1399,pemerintah kota samarinda
1400,pemerintah provinsi kalimantan timur
1401,pemerintah kabupaten bulungan
1402,pemerintah kabupaten malinau
1403,pemerintah kabupaten nunukan
1404,pemerintah kabupaten tana tidung
1405,pemerintah kota tarakan
1406,pemerintah provinsi kalimantan utara
1407,pemerintah provinsi kepulauan bangka belitung
1408,pemerintah kabupaten bintan
1409,pemerintah kabupaten karimun
1410,pemerintah kabupaten kepulauan anambas
1411,pemerintah kabupaten lingga
1412,pemerintah kabupaten natuna
1413,pemerintah kota batam
1414,pemerintah kota tanjung pinang
1415,pemerintah provinsi kepulauan riau
1416,pemerintah kabupaten lampung barat
1417,pemerintah kabupaten lampung selatan
1418,pemerintah kabupaten lampung tengah
1419,pemerintah kabupaten lampung timur
1420,pemerintah kabupaten lampung utara
1421,pemerintah kabupaten mesuji
1422,pemerintah kabupaten pesawaran
1423,pemerintah kabupaten pesisir barat
1424,pemerintah kabupaten pringsewu
1425,pemerintah kabupaten tanggamus
1426,pemerintah kabupaten tulang bawang
1427,pemerintah kabupaten tulang bawang barat
1428,pemerintah kabupaten way kanan
1429,pemerintah kota bandar lampung
1430,pemerintah kota metro
1431,pemerintah provinsi lampung
1432,pemerintah kabupaten buru
1433,pemerintah kabupaten buru selatan
1434,pemerintah kabupaten kepulauan aru
1435,pemerintah kabupaten maluku barat daya
1436,pemerintah kabupaten maluku tengah
1437,pemerintah kabupaten maluku tenggara
1438,pemerintah kabupaten maluku tenggara barat
1439,pemerintah kabupaten seram bagian barat
1440,pemerintah kabupaten seram bagian timur
1441,pemerintah kota ambon
1442,pemerintah kota tual
1443,pemerintah provinsi maluku
1444,pemerintah kabupaten halmahera barat
1445,pemerintah kabupaten halmahera selatan
1446,pemerintah kabupaten halmahera tengah
1447,pemerintah kabupaten halmahera timur
1448,pemerintah kabupaten halmahera utara
1449,pemerintah kabupaten kepulauan sula
1450,pemerintah kabupaten pulau morotai
1451,pemerintah kabupaten pulau taliabu
1452,pemerintah kota ternate
1453,pemerintah kota tidore kepulauan
1454,pemerintah provinsi maluku utara
1455,pemerintah kabupaten aceh barat
1456,pemerintah kabupaten aceh barat daya
1457,pemerintah kabupaten aceh besar
1458,pemerintah kabupaten aceh jaya
1459,pemerintah kabupaten aceh selatan
1460,pemerintah kabupaten aceh singkil
1461,pemerintah kabupaten aceh tamiang
1462,pemerintah kabupaten aceh tengah
1463,pemerintah kabupaten aceh tenggara
1464,pemerintah kabupaten aceh timur
1465,pemerintah kabupaten aceh utara
1466,pemerintah kabupaten bener meriah
1467,pemerintah kabupaten bireuen
1468,pemerintah kabupaten gayo lues
1469,pemerintah kabupaten nagan raya
1470,pemerintah kabupaten pidie
1471,pemerintah kabupaten pidie jaya
1472,pemerintah kabupaten simeulue
1473,pemerintah kota banda aceh
1474,pemerintah kota langsa
1475,pemerintah kota lhokseumawe
1476,pemerintah kota sabang
1477,pemerintah kota subulussalam
1478,pemerintah provinsi nangroe aceh darussalam
1479,pemerintah kabupaten bima
1480,pemerintah kabupaten dompu
1481,pemerintah kabupaten lombok barat
1482,pemerintah kabupaten lombok tengah
1483,pemerintah kabupaten lombok timur
1484,pemerintah kabupaten lombok utara
1485,pemerintah kabupaten sumbawa
1486,pemerintah kabupaten sumbawa barat
1487,pemerintah kota bima
1488,pemerintah kota mataram
1489,pemerintah provinsi nusa tenggara barat
1490,pemerintah kabupaten alor
1491,pemerintah kabupaten belu
1492,pemerintah kabupaten ende
1493,pemerintah kabupaten flores timur
1494,pemerintah kabupaten kupang
1495,pemerintah kabupaten lembata
1496,pemerintah kabupaten malaka
1497,pemerintah kabupaten manggarai
1498,pemerintah kabupaten manggarai barat
1499,pemerintah kabupaten manggarai timur
1500,pemerintah kabupaten nagekeo
1501,pemerintah kabupaten ngada
1502,pemerintah kabupaten rote ndao
1503,pemerintah kabupaten sabu raijua
1504,pemerintah kabupaten sikka
1505,pemerintah kabupaten sumba barat
1506,pemerintah kabupaten sumba barat daya
1507,pemerintah kabupaten sumba tengah
1508,pemerintah kabupaten sumba timur
1509,pemerintah kabupaten timor tengah selatan
1510,pemerintah kabupaten timor tengah utara
1511,pemerintah kota kupang
1512,pemerintah provinsi nusa tenggara timur
1513,pt semen kupang
1514,pemerintah kabupaten asmat
1515,pemerintah kabupaten biak numfor
1516,pemerintah kabupaten boven digoel
1517,pemerintah kabupaten deiyai
1518,pemerintah kabupaten dogiyai
1519,pemerintah kabupaten intan jaya
1520,pemerintah kabupaten jayapura
1521,pemerintah kabupaten jayawijaya
1522,pemerintah kabupaten keerom
1523,pemerintah kabupaten kepulauan yapen
1524,pemerintah kabupaten lanny jaya
1525,pemerintah kabupaten mamberamo raya
1526,pemerintah kabupaten mamberamo tengah
1527,pemerintah kabupaten mappi
1528,pemerintah kabupaten merauke
1529,pemerintah kabupaten mimika
1530,pemerintah kabupaten nabire
1531,pemerintah kabupaten nduga
1532,pemerintah kabupaten paniai
1533,pemerintah kabupaten pegunungan bintang
1534,pemerintah kabupaten puncak
1535,pemerintah kabupaten puncak jaya
1536,pemerintah kabupaten sarmi
1537,pemerintah kabupaten supiori
1538,pemerintah kabupaten tolikara
1539,pemerintah kabupaten waropen
1540,pemerintah kabupaten yahukimo
1541,pemerintah kabupaten yalimo
1542,pemerintah kota jayapura
1543,pemerintah provinsi papua
1544,pemerintah kabupaten fak fak
1545,pemerintah kabupaten kaimana
1546,pemerintah kabupaten manokwari
1547,pemerintah kabupaten manokwari selatan
1548,pemerintah kabupaten maybrat
1549,pemerintah kabupaten pegunungan arfak
1550,pemerintah kabupaten raja ampat
1551,pemerintah kabupaten sorong
1552,pemerintah kabupaten sorong selatan
1553,pemerintah kabupaten tambrauw
1554,pemerintah kabupaten teluk bintuni
1555,pemerintah kabupaten teluk wondama
1556,pemerintah kota sorong
1557,pemerintah provinsi papua barat
1558,pemerintah kabupaten bengkalis
1559,pemerintah kabupaten indragiri hilir
1560,pemerintah kabupaten indragiri hulu
1561,pemerintah kabupaten kampar
1562,pemerintah kabupaten kepulauan meranti
1563,pemerintah kabupaten kuantan singingi
1564,pemerintah kabupaten pelalawan
1565,pemerintah kabupaten rokan hilir
1566,pemerintah kabupaten rokan hulu
1567,pemerintah kabupaten siak
1568,pemerintah kota dumai
1569,pemerintah kota pekanbaru
1570,pemerintah provinsi riau
1571,pemerintah kabupaten majene
1572,pemerintah kabupaten mamasa
1573,pemerintah kabupaten mamuju
1574,pemerintah kabupaten mamuju tengah
1575,pemerintah kabupaten pasangkayu
1576,pemerintah kabupaten polewali mandar
1577,pemerintah provinsi sulawesi barat
1578,pemerintah kabupaten bantaeng
1579,pemerintah kabupaten barru
1580,pemerintah kabupaten bone
1581,pemerintah kabupaten bulukumba
1582,pemerintah kabupaten enrekang
1583,pemerintah kabupaten gowa
1584,pemerintah kabupaten jeneponto
1585,pemerintah kabupaten kepulauan selayar
1586,pemerintah kabupaten luwu
1587,pemerintah kabupaten luwu timur
1588,pemerintah kabupaten luwu utara
1589,pemerintah kabupaten maros
1590,pemerintah kabupaten pangkajene kepulauan
1591,pemerintah kabupaten pinrang
1592,pemerintah kabupaten sidenreng rappang
1593,pemerintah kabupaten sinjai
1594,pemerintah kabupaten soppeng
1595,pemerintah kabupaten takalar
1596,pemerintah kabupaten tana toraja
1597,pemerintah kabupaten toraja utara
1598,pemerintah kabupaten wajo
1599,pemerintah kota makassar
1600,pemerintah kota palopo
1601,pemerintah kota pare pare
1602,pemerintah provinsi sulawesi selatan
1603,pt kawasan industri makassar persero
1604,pemerintah kabupaten banggai
1605,pemerintah kabupaten banggai kepulauan
1606,pemerintah kabupaten banggai laut
1607,pemerintah kabupaten buol
1608,pemerintah kabupaten donggala
1609,pemerintah kabupaten morowali
1610,pemerintah kabupaten morowali utara
1611,pemerintah kabupaten parigi moutong
1612,pemerintah kabupaten poso
1613,pemerintah kabupaten sigi
1614,pemerintah kabupaten tojo una una
1615,pemerintah kabupaten toli toli
1616,pemerintah kota palu
1617,pemerintah provinsi sulawesi tengah
1618,pemerintah kabupaten bombana
1619,pemerintah kabupaten buton
1620,pemerintah kabupaten buton selatan
1621,pemerintah kabupaten buton tengah
1622,pemerintah kabupaten buton utara
1623,pemerintah kabupaten kolaka
1624,pemerintah kabupaten kolaka timur
1625,pemerintah kabupaten kolaka utara
1626,pemerintah kabupaten konawe
1627,pemerintah kabupaten konawe kepulauan
1628,pemerintah kabupaten konawe selatan
1629,pemerintah kabupaten konawe utara
1630,pemerintah kabupaten muna
1631,pemerintah kabupaten muna barat
1632,pemerintah kabupaten wakatobi
1633,pemerintah kota bau bau
1634,pemerintah kota kendari
1635,pemerintah provinsi sulawesi tenggara
1636,pemerintah kabupaten bolaang mongondow
1637,pemerintah kabupaten bolaang mongondow selatan
1638,pemerintah kabupaten bolaang mongondow timur
1639,pemerintah kabupaten bolaang mongondow utara
1640,pemerintah kabupaten kepulauan sangihe
1641,pemerintah kabupaten kepulauan siau tagulandang biaro
1642,pemerintah kabupaten kepulauan talaud
1643,pemerintah kabupaten minahasa
1644,pemerintah kabupaten minahasa selatan
1645,pemerintah kabupaten minahasa tenggara
1646,pemerintah kabupaten minahasa utara
1647,pemerintah kota bitung
1648,pemerintah kota kotamobagu
1649,pemerintah kota manado
1650,pemerintah kota tomohon
1651,pemerintah provinsi sulawesi utara
1652,pemerintah kabupaten agam
1653,pemerintah kabupaten dharmasraya
1654,pemerintah kabupaten kepulauan mentawai
1655,pemerintah kabupaten lima puluh kota
1656,pemerintah kabupaten padang pariaman
1657,pemerintah kabupaten pasaman
1658,pemerintah kabupaten pasaman barat
1659,pemerintah kabupaten pesisir selatan
1660,pemerintah kabupaten sijunjung
1661,pemerintah kabupaten solok
1662,pemerintah kabupaten solok selatan
1663,pemerintah kabupaten tanah datar
1664,pemerintah kota bukittinggi
1665,pemerintah kota padang
1666,pemerintah kota padang panjang
1667,pemerintah kota pariaman
1668,pemerintah kota payakumbuh
1669,pemerintah kota sawahlunto
1670,pemerintah kota solok
1671,pemerintah provinsi sumatera barat
1672,pemerintah kabupaten banyuasin
1673,pemerintah kabupaten empat lawang
1674,pemerintah kabupaten lahat
1675,pemerintah kabupaten muara enim
1676,pemerintah kabupaten musi banyuasin
1677,pemerintah kabupaten musi rawas
1678,pemerintah kabupaten musi rawas utara
1679,pemerintah kabupaten ogan ilir
1680,pemerintah kabupaten ogan komering ilir
1681,pemerintah kabupaten ogan komering ulu
1682,pemerintah kabupaten ogan komering ulu selatan
1683,pemerintah kabupaten ogan komering ulu timur
1684,pemerintah kabupaten penukal abab lematang ilir
1685,pemerintah kota lubuk linggau
1686,pemerintah kota pagar alam
1687,pemerintah kota palembang
1688,pemerintah kota prabumulih
1689,pemerintah provinsi sumatera selatan
1690,pemerintah kabupaten asahan
1691,pemerintah kabupaten batu bara
1692,pemerintah kabupaten dairi
1693,pemerintah kabupaten deli serdang
1694,pemerintah kabupaten humbang hasundutan
1695,pemerintah kabupaten karo
1696,pemerintah kabupaten labuhanbatu
1697,pemerintah kabupaten labuhanbatu selatan
1698,pemerintah kabupaten labuhanbatu utara
1699,pemerintah kabupaten langkat
1700,pemerintah kabupaten mandailing natal
1701,pemerintah kabupaten nias
1702,pemerintah kabupaten nias barat
1703,pemerintah kabupaten nias selatan
1704,pemerintah kabupaten nias utara
1705,pemerintah kabupaten padang lawas
1706,pemerintah kabupaten padang lawas utara
1707,pemerintah kabupaten pakpak bharat
1708,pemerintah kabupaten samosir
1709,pemerintah kabupaten serdang bedagai
1710,pemerintah kabupaten simalungun
1711,pemerintah kabupaten tapanuli selatan
1712,pemerintah kabupaten tapanuli tengah
1713,pemerintah kabupaten tapanuli utara
1714,pemerintah kabupaten toba samosir
1715,pemerintah kota binjai
1716,pemerintah kota gunungsitoli
1717,pemerintah kota medan
1718,pemerintah kota padangsidimpuan
1719,pemerintah kota pematang siantar
1720,pemerintah kota sibolga
1721,pemerintah kota tanjung balai
1722,pemerintah kota tebing tinggi
1723,pemerintah provinsi sumatera utara
