,Kata,Index
192,Udara,[130]
193,Inspektorat,[131]
194,Jenderal,[131]
195,KASN,[132]
196,Aparatur,[133]
197,Sipil,[133]
198,BNSP,[134]
199,Sertifikasi,[135]
200,Profesi,[135]
201,Pengatur,[136]
202,Hilir,[136]
203,Minyak,[136]
204,Gas,"[136, 323]"
205,Bumi,[136]
206,BPH,[137]
207,Migas,[137]
208,Pertimbangan,[138]
209,Presiden,[138]
210,Wantimpres,[139]
211,KKRI,[140]
212,LPSK,[144]
213,Perlindungan,[145]
214,Saksi,[145]
215,Korban,[145]
216,Pemkab,[146]
217,Kepulauan,"[146, 147]"
218,Seribu,"[146, 147]"
219,Kab.,[147]
220,Pemkot,"[148, 150, 152, 154, 156]"
221,Jakarta,"[148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 225]"
222,Adminsitrasi,[149]
223,Selatan,"[152, 153]"
224,Timur,"[154, 155]"
225,Pemprov,[158]
226,DKI,[158]
227,Khusus,[159]
228,Ibukota,[159]
229,Perum,"[160, 161, 163, 170, 171, 173, 175, 176, 178, 180, 182]"
230,Bulog,"[160, 161]"
231,Kanwil,[160]
232,Kaltim,[160]
233,Kaltara,[160]
234,Probolinggo,[161]
235,Perusahaan,"[162, 174, 177, 179, 183, 323, 325, 327, 329]"
236,DAMRI,"[162, 163]"
237,UABK,[163]
238,Bandung,"[163, 165, 170, 220, 273]"
239,PT,"[164, 165, 184, 186, 192, 194, 201, 213, 215, 216, 220, 223, 225, 227, 229, 230, 231, 233, 235, 237, 239, 240, 243, 245, 247, 248, 253, 254, 255, 257, 258, 260, 262, 264, 267, 269, 271, 274, 276, 279, 280, 283, 287, 288, 291, 301, 302, 304, 308, 309, 310, 311, 312, 313, 316, 317, 319, 321, 326, 328, 331, 333, 335, 336, 341, 342, 345, 346, 348, 350, 354, 355, 356]"
240,Jamkrindo,"[164, 165]"
241,Cabang,"[165, 206, 208, 223, 225, 271, 341]"
242,Jasa,"[166, 167, 168, 169, 197, 270, 271, 272, 273]"
243,Tirta,"[166, 167, 168, 169, 357]"
244,I,"[167, 292]"
245,II,"[168, 294, 295]"
246,2,"[169, 190]"
247,Perhutani,"[170, 171]"
248,KPH,[170]
249,Divisi,[171]
250,Banten,[171]
251,Berita,[172]
252,Antara,"[172, 173]"
253,Biro,"[172, 223]"
254,LKBN,[173]
255,Pembangunan,"[174, 303]"
256,Perumahan,"[174, 303]"
257,Perumnas,[175]
258,PPD,[176]
259,Pengangkutan,[177]
260,Penumpang,[177]
261,Djakarta,"[177, 236, 237]"
262,PNRI,[178]
263,Percetakan,[179]
264,Peruri,"[180, 181]"
265,PFN,[182]
266,Produksi,[183]
267,Film,[183]
268,Adhi,"[184, 185]"
269,Karya,"[184, 185, 187, 218, 219, 250, 252, 253, 256, 257, 266, 267]"
270,AMKA,[186]
271,Amarta,[187]
272,Angkasa,"[188, 190]"
273,Pura,"[188, 190]"
274,AP1,[189]
275,AP2,[191]
276,Asabri,"[192, 193]"
277,(Persero),"[192, 223, 225, 227, 230, 245, 247, 255, 258, 260, 262, 264, 313, 314, 317, 335]"
278,Perseta,[193]
279,Pensiunan,[193]
280,Polri,[193]
281,ASDP,"[194, 195]"
282,Ferry,[194]
283,Asuransi,"[196, 197, 198]"
284,Jasindo,[196]
285,Jiwasraya,"[198, 199]"
286,Askrindo,"[200, 201]"
287,Financial,[202]
288,Group,[202]
289,(IFG),[202]
290,BPUI,[203]
291,Bank,"[204, 205, 206, 208, 209, 210]"
292,Mandiri,"[204, 205]"
293,Cihampelas,[205]
294,BNI,"[206, 207]"
295,Karawang,[206]
296,46,[207]
297,Sintang,[208]
298,BRI,[209]
299,Unit,[209]
300,Prambanan,[209]
301,BTN,"[210, 211]"
302,Jayapura,[210]
303,Pluit,[211]
304,Barata,"[212, 213]"
305,Berdikari,"[214, 215]"
306,BGR,"[216, 217]"
307,Logistik,[216]
308,Bina,"[218, 219]"
309,Persero,"[219, 309, 311]"
310,Bio,"[220, 221]"
311,Farma,"[220, 221, 278, 279]"
312,BKI,[222]
313,Klasifikasi,[223]
314,Cirebon,"[223, 333]"
315,BBI,[224]
316,Boma,[225]
317,Bisma,[225]
318,Indra,"[225, 256, 257]"
319,Brantas,"[226, 227]"
320,Abipraya,"[226, 227]"
321,Dahana,"[228, 229]"
322,Subang,[229]
323,Taspen,"[230, 231]"
324,KC,"[231, 333]"
325,Danareksa,"[232, 233]"
326,PTDI,[234]
327,Dirgantara,[235]
328,Lloyd,"[236, 237]"
329,Garuda,"[238, 239]"
330,DKB,[240]
331,Dok,[241]
332,Perkapalan,[241]
333,Kodja,[241]
334,Bahari,[241]
335,Emipersero,[242]
336,EMI,[243]
337,Garam,"[244, 245]"
338,Geo,"[246, 247]"
339,Dipa,"[246, 247]"
340,Energi,"[246, 247]"
341,HIN,[248]
342,Inna,[249]
343,Hotels,[249]
344,and,[249]
345,Resorts,[249]
346,Hutama,[250]
347,HK,[251]
348,Indah,"[252, 253]"
349,Inalum,[254]
350,Asahan,[255]
351,Aluminium,[255]
352,IKI,[258]
353,Industri,"[259, 261, 263, 277, 284]"
354,Kapal,[259]
355,INUKI,[260]
356,ISN,[262]
357,Sandang,[263]
358,Nusantara,"[263, 275, 314]"
359,INTI,"[264, 265]"
360,Istaka,"[266, 267]"
361,Jiep,[268]
362,Ecogreen,[268]
363,JIEP,[269]
364,Marga,"[270, 271]"
365,Purbaleunyi,[271]
366,Raharja,"[272, 273]"
367,KBN,[274]
368,Kawasan,"[275, 277]"
369,Berikat,[275]
370,KIW,[276]
371,Wijayakusuma,[277]
372,Kimia,"[278, 279]"
373,Tbk,[279]
374,KBI,[280]
375,Kliring,[281]
376,Berjangka,[281]
377,Krakatau,"[282, 283]"
378,Steel,"[282, 283]"
379,Len,"[284, 285]"
380,PAL,"[286, 287]"
381,PANN,"[288, 289]"
382,Pembiayaan,[289]
383,Maritim,[289]
384,Pegadaian,"[290, 291]"
385,Area,[291]
386,Samarinda,[291]
387,Pelindo,"[292, 294, 297, 299]"
388,Pelabuhan,"[293, 295, 296, 298]"
389,III,"[296, 297, 314, 315]"
390,IV,"[298, 299]"
391,Pelayaran,[300]
392,PELNI,[301]
393,Balai,"[304, 305]"
394,Pustaka,"[304, 305]"
395,ITDC,[306]
396,Pengembangan,[307]
397,Pariwisata,[307]
398,PDI,[308]
399,PII,"[310, 311]"
400,Perinus,"[312, 313]"
401,PT.,[314]
402,Perkebunan,[314]
403,PTPN,[315]
404,PNM,"[316, 317]"
405,Pertamina,"[318, 319]"
406,Pertani,"[320, 321]"
407,PGN,[322]
408,PLN,[324]
409,Listrik,[325]
410,PPA,[326]
411,Pengelola,[327]
412,Aset,[327]
413,PPI,[328]
414,Perdagangan,[329]
415,Pindad,"[330, 331]"
416,Pos,"[332, 333]"
417,Pupuk,"[334, 335]"
418,Rajawali,[336]
419,Nusindo,[336]
420,ID,[337]
421,FOOD,[337]
422,Re,[338]
423,Reasuransi,[339]
424,SHS,[340]
425,Sang,[341]
426,Hyang,[341]
427,Seri,[341]
428,Sidrap,[341]
429,SMI,[342]
430,Sarana,[343]
431,Multi,[343]
432,Infrastruktur,[343]
433,Sarinah,"[344, 345]"
434,Semen,"[346, 347, 348, 349]"
435,Baturaja,"[346, 347]"
436,Superintending,[350]
437,Company,[350]
438,of,[350]
439,Sucofindo,[351]
440,Surveyor,[352]
441,PTSI,[353]
442,TWC,[354]
443,Taman,[355]
444,Wisata,[355]
445,Candi,[355]
446,VTP,[356]
447,Varuna,[357]
448,Prakasya,[357]
